Temperature,Solar radiation,PV power,Day sin,Day cos
-0.14375000000000002,0.0,0.0,0.2588190451020875,0.9659258262891843
-0.5075,0.0,0.0,0.49999999999504074,0.8660254037873019
-1.0775,0.0,0.0,0.7071067811787664,0.7071067811943288
-1.625,0.0,0.0,0.8660254037835735,0.5000000000014985
-1.625,0.0,0.0,0.9659258262872544,0.25881904510929005
-0.8475,0.0,0.0708,1.0,1.2285955050493769e-11
0.07750000000000001,2.9274999999999998,1.06,0.9659258262898478,-0.2588190450996115
1.28,38.775,3.16,0.8660254037885835,-0.49999999999282085
2.2475,100.47500000000001,4.81,0.7071067811858516,-0.7071067811872435
2.98,135.5,7.11,0.5000000000037184,-0.8660254037822919
3.39,182.25,9.29,0.25881904511176607,-0.9659258262865911
3.8800000000000003,183.25,9.33,2.9738397372143506e-13,-1.0
3.7025,193.0,9.91,-0.2588190450971355,-0.9659258262905113
3.7750000000000004,236.0,6.4,-0.4999999999906009,-0.8660254037898653
3.2675,152.5,5.36,-0.707106781185431,-0.7071067811876641
3.2025,131.25,1.7,-0.8660254037810102,-0.5000000000059382
3.3675,66.575,0.268,-0.9659258262859276,-0.2588190451142421
3.5,15.0075,0.0,-1.0,-2.8607281253159537e-12
3.9,0.0,0.0,-0.9659258262911747,0.2588190450946595
4.3525,0.0,0.0,-0.8660254037838709,0.5000000000009833
4.41,0.0,0.0,-0.7071067811894767,0.7071067811836185
4.302499999999999,0.0,0.0,-0.5000000000081581,0.8660254037797285
4.4125,0.0,0.0,-0.258819045102662,0.9659258262890305
4.4825,0.0,0.0,-5.424072276910473e-12,1.0
4.46,0.0,0.0,0.2588190450921835,0.9659258262918381
4.17,0.0,0.0,0.49999999999876343,0.8660254037851526
4.29,0.0,0.0,0.7071067811818058,0.7071067811912892
4.1225,0.0,0.0,0.8660254037784468,0.5000000000103781
3.2825,0.0,0.0,0.965925826288367,0.258819045105138
3.3000000000000003,0.0,0.0372,1.0,7.98741642850499e-12
3.7325,0.7325,0.727,0.9659258262925016,-0.2588190450897075
3.8800000000000003,18.6675,3.95,0.8660254037864342,-0.4999999999965435
4.2875000000000005,120.375,7.44,0.7071067811931018,-0.7071067811799933
4.6925,211.0,8.71,0.49999999999999567,-0.8660254037844412
4.74,163.0,8.85,0.258819045107614,-0.9659258262877035
5.2299999999999995,223.0,7.94,1.0550760580099511e-11,-1.0
5.445,175.5,10.0,-0.25881904510128756,-0.9659258262893987
6.172499999999999,226.5,6.3,-0.4999999999943236,-0.866025403787716
6.1575,159.0,2.72,-0.7071067811781807,-0.7071067811949143
6.05,92.075,0.589,-0.8660254037831595,-0.5000000000022156
5.875,20.099999999999998,0.132,-0.9659258262870402,-0.25881904511009
5.7375,7.327500000000001,0.000684,-1.0,-1.311410473169403e-11
5.45,0.0,0.0,-0.9659258262900622,0.25881904509881154
5.535,0.0,0.0,-0.8660254037889976,0.49999999999210365
