Temperature,solar radiation,PV power,Day sin,Day cos
0.1822493224932249,0.0,,0.4999999999951387,1.0
0.16886856368563682,0.0,0.0,0.6294095225510438,0.9829629131445922
0.15901084010840105,0.0,0.0,0.7499999999975204,0.9330127018936509
0.14356368563685634,0.0,0.0,0.8535533905893832,0.8535533905971644
0.1287262872628726,0.0,0.0,0.9330127018917868,0.7500000000007492
0.1287262872628726,0.0,0.0,0.9829629131436273,0.629409522554645
0.14979674796747966,0.0,0.003160714285714286,1.0,0.500000000006143
0.1748644986449864,0.0034962181528662415,0.04732142857142858,0.9829629131449239,0.37059047745019424
0.20745257452574523,0.046307722929936304,0.1410714285714286,0.9330127018942918,0.2500000000035896
0.23367208672086717,0.11999402866242039,0.21473214285714284,0.8535533905929258,0.14644660940637827
0.2535230352303523,0.1618232484076433,0.3174107142857143,0.7500000000018592,0.06698729810885407
0.26463414634146337,0.21765525477707007,0.4147321428571428,0.629409522555883,0.017037086856704464
0.2779132791327913,0.21884952229299362,0.41651785714285716,0.5000000000001487,0.0
0.2731029810298103,0.2304936305732484,0.4424107142857143,0.37059047745143225,0.017037086854744365
0.2750677506775067,0.2818471337579618,0.28571428571428575,0.2500000000046996,0.06698729810506737
0.2613143631436314,0.18212579617834393,0.23928571428571432,0.1464466094072845,0.14644660940616794
0.25955284552845526,0.15674761146496816,0.07589285714285715,0.06698729810949489,0.24999999999703088
0.2640243902439024,0.07950835987261147,0.011964285714285715,0.0170370868570362,0.370590477442879
0.2676151761517615,0.01792296974522293,0.0,0.0,0.49999999999856964
0.2784552845528455,0.0,0.0,0.01703708685441263,0.6294095225473297
0.29071815718157173,0.0,0.0,0.06698729810806453,0.7500000000004916
0.2922764227642276,0.0,0.0,0.14644660940526166,0.8535533905918092
0.2893631436314362,0.0,0.0,0.24999999999592093,0.9330127018898642
0.29234417344173436,0.0,0.0,0.370590477448669,0.9829629131445152
0.2942411924119241,0.0,0.0,0.49999999999728795,1.0
0.2936314363143631,0.0,0.0,0.6294095225460917,0.982962913145919
0.2857723577235772,0.0,0.0,0.7499999999993817,0.9330127018925762
0.28902439024390236,0.0,0.0,0.853553390590903,0.8535533905956446
0.2844850948509484,0.0,0.0,0.9330127018892234,0.7500000000051891
0.26172086720867205,0.0,0.0,0.9829629131441835,0.629409522552569
0.26219512195121947,0.0,0.0016607142857142858,1.0,0.5000000000039937
0.27391598915989157,0.0008748009554140128,0.03245535714285715,0.9829629131462507,0.3705904774551463
0.2779132791327913,0.022293988853503185,0.17633928571428573,0.9330127018932171,0.2500000000017283
0.28895663956639567,0.14375995222929935,0.3321428571428572,0.8535533905965509,0.14644660941000337
0.2999322493224931,0.2519904458598726,0.3888392857142858,0.7499999999999978,0.06698729810777942
0.3012195121951219,0.1946656050955414,0.3950892857142857,0.629409522553807,0.017037086856148242
0.3144986449864498,0.2663216560509554,0.35446428571428573,0.5000000000052753,0.0
0.32032520325203245,0.20959394904458598,0.44642857142857145,0.37059047744935625,0.017037086855300643
0.340040650406504,0.27050159235668786,0.28125,0.2500000000028382,0.06698729810614201
0.3396341463414633,0.18988853503184713,0.12142857142857144,0.14644660941090965,0.14644660940254284
0.33672086720867206,0.10996218152866243,0.026294642857142857,0.06698729810842025,0.24999999999889222
0.3319783197831978,0.02400477707006369,0.005892857142857143,0.01703708685647992,0.370590477444955
0.3282520325203252,0.008750995222929936,3.053571428571429e-05,0.0,0.49999999999344297
0.320460704607046,0.0,0.0,0.017037086854968908,0.6294095225494057
0.32276422764227636,0.0,0.0,0.06698729810550119,0.7499999999960518
0.3216124661246612,0.0,0.0,0.14644660940678145,0.853553390593329
0.3111788617886178,0.0,0.0,0.24999999999778222,0.9330127018909389
0.30514905149051486,0.0,0.0,0.370590477443717,0.9829629131431883
0.30060975609756097,0.0,0.0,0.49999999999943723,1.0
0.2915311653116531,0.0,0.0,0.6294095225481677,0.9829629131453628
0.2869918699186991,0.0,0.0,0.7499999999949418,0.9330127018951396
0.2856368563685636,0.0,0.0,0.8535533905924226,0.8535533905941248
0.2856368563685636,0.0,0.0,0.9330127018902981,0.7500000000033278
0.28279132791327904,0.0,0.0,0.9829629131428566,0.629409522557521
0.2836043360433604,0.0,0.003316964285714281,1.0,0.5000000000018444
0.2791327913279132,0.0008748009554140128,0.05714285714285715,0.9829629131456945,0.3705904774530702
0.27743902439024387,0.03932125796178344,0.17410714285714288,0.9330127018921426,0.24999999999986694
0.2862466124661246,0.14190883757961784,0.2629464285714286,0.8535533905950311,0.14644660940848359
0.29566395663956635,0.1940684713375796,0.4955357142857143,0.7500000000044377,0.06698729811034276
0.31436314363143625,0.3603702229299363,0.2191964285714286,0.629409522551731,0.017037086855591965
0.3064363143631436,0.16480891719745222,0.27142857142857146,0.5000000000031262,0.0
0.3076558265582655,0.16391321656050956,0.17008928571428572,0.37059047745430823,0.01703708685397376
0.30162601626016255,0.13889331210191083,0.3165178571428572,0.2500000000009769,0.06698729810721665
0.30982384823848236,0.20362261146496816,0.15937500000000002,0.14644660940938986,0.14644660940406262
0.31341463414634146,0.13029458598726115,0.04285714285714286,0.06698729811098364,0.24999999999445233
0.3013550135501355,0.042814490445859874,0.011071428571428572,0.017037086855923644,0.37059047744703105
0.2973577235772357,0.0157374601910828,0.0,0.0,0.4999999999955922
0.29315718157181564,0.0,0.0,0.017037086855525185,0.6294095225514817
0.2921409214092141,0.0,0.0,0.06698729810657583,0.7499999999979131
0.2883920505871725,0.0,0.0,0.14644660940315635,0.8535533905897039
0.2872628726287263,0.0,0.0,0.24999999999964356,0.9330127018920136
